842.2299194,847.164856,-656.2510376,789.0637207,136.7189636
845.5198975,853.744812,-660.1572876,792.9699707,136.7189636
847.164856,858.6797485,-656.2510376,792.9699707,136.7189636
843.874939,852.0997925,-656.2510376,792.9699707,140.6252136
847.164856,857.034729,-656.2510376,792.9699707,136.7189636
845.5198975,852.0997925,-656.2510376,789.0637207,136.7189636
847.164856,853.744812,-656.2510376,789.0637207,136.7189636
845.5198975,853.744812,-660.1572876,785.1574707,132.8127136
842.2299194,848.8098755,-652.3447876,785.1574707,140.6252136
848.8098755,847.164856,-656.2510376,792.9699707,140.6252136
848.8098755,847.164856,-656.2510376,796.8762207,136.7189636
843.874939,842.2299194,-660.1572876,792.9699707,136.7189636
845.5198975,852.0997925,-660.1572876,792.9699707,136.7189636
848.8098755,843.874939,-656.2510376,792.9699707,136.7189636
855.3897705,835.6500244,-656.2510376,796.8762207,136.7189636
855.3897705,835.6500244,-660.1572876,792.9699707,136.7189636
857.034729,829.0700684,-660.1572876,792.9699707,136.7189636
857.034729,834.0050049,-656.2510376,792.9699707,140.6252136
852.0997925,837.2949829,-656.2510376,792.9699707,140.6252136
843.874939,847.164856,-656.2510376,792.9699707,136.7189636
840.5849609,845.5198975,-656.2510376,792.9699707,136.7189636
842.2299194,843.874939,-656.2510376,792.9699707,132.8127136
842.2299194,843.874939,-656.2510376,789.0637207,136.7189636
842.2299194,843.874939,-660.1572876,796.8762207,136.7189636
835.6500244,843.874939,-660.1572876,796.8762207,136.7189636
832.3600464,843.874939,-660.1572876,796.8762207,136.7189636
835.6500244,848.8098755,-656.2510376,796.8762207,140.6252136
835.6500244,847.164856,-660.1572876,792.9699707,136.7189636
840.5849609,835.6500244,-656.2510376,792.9699707,132.8127136
838.9400024,845.5198975,-656.2510376,792.9699707,136.7189636
842.2299194,835.6500244,-656.2510376,792.9699707,136.7189636
842.2299194,847.164856,-656.2510376,792.9699707,136.7189636
838.9400024,843.874939,-656.2510376,792.9699707,136.7189636
842.2299194,845.5198975,-656.2510376,792.9699707,136.7189636
843.874939,840.5849609,-656.2510376,792.9699707,136.7189636
855.3897705,837.2949829,-656.2510376,792.9699707,136.7189636
842.2299194,860.324707,-656.2510376,792.9699707,136.7189636
842.2299194,863.6146851,-656.2510376,792.9699707,136.7189636
840.5849609,857.034729,-656.2510376,796.8762207,136.7189636
840.5849609,857.034729,-660.1572876,796.8762207,132.8127136
843.874939,848.8098755,-660.1572876,796.8762207,132.8127136
847.164856,852.0997925,-648.4385376,789.0637207,140.6252136
842.2299194,858.6797485,-660.1572876,796.8762207,136.7189636
847.164856,848.8098755,-660.1572876,796.8762207,136.7189636
842.2299194,853.744812,-656.2510376,792.9699707,140.6252136
840.5849609,847.164856,-656.2510376,792.9699707,140.6252136
